Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
150.13409423828125	-5000	1.01514e-07	3082280.0
150.13409423828125	-5000	1.00684e-07	3086700.0
150.13409423828125	-4900	1.01888e-07	3090640.0
150.13409423828125	-4800	1.00389e-07	3089030.0
150.13409423828125	-4700	1.01348e-07	3091070.0
150.13409423828125	-4600	1.01891e-07	3089380.0
150.13409423828125	-4500	1.00961e-07	3088590.0
150.13409423828125	-4400	1.01993e-07	3093560.0
150.13409423828125	-4300	1.00118e-07	3093910.0
150.13409423828125	-4200	1.01017e-07	3094780.0
150.13409423828125	-4100	1.00859e-07	3096660.0
150.13409423828125	-4000	1.00392e-07	3090780.0
150.13409423828125	-3900	1.02269e-07	3090130.0
150.13409423828125	-3800	1.0007e-07	3097800.0
150.13409423828125	-3700	1.00373e-07	3097830.0
150.13409423828125	-3600	1.02144e-07	3093570.0
150.13409423828125	-3500	1.00035e-07	3095790.0
150.13409423828125	-3400	1.0045e-07	3096910.0
150.13409423828125	-3300	1.02448e-07	3096790.0
150.13409423828125	-3200	1.00915e-07	3096220.0
150.13409423828125	-3100	1.02223e-07	3095490.0
150.13409423828125	-3000	1.01337e-07	3093780.0
150.13409423828125	-2900	1.00557e-07	3096910.0
150.13409423828125	-2800	1.017e-07	3096170.0
150.13409423828125	-2700	1.00233e-07	3095480.0
150.13409423828125	-2600	1.00372e-07	3094400.0
150.13409423828125	-2500	1.01938e-07	3097040.0
150.13409423828125	-2400	1.01924e-07	3094870.0
150.13409423828125	-2300	1.01449e-07	3106650.0
150.13409423828125	-2200	1.01403e-07	3098780.0
150.13409423828125	-2100	1.01015e-07	3103620.0
150.13409423828125	-2000	1.00137e-07	3099990.0
150.13409423828125	-1900	1.00314e-07	3098100.0
150.13409423828125	-1800	1.01561e-07	3099730.0
150.13409423828125	-1700	1.0133e-07	3103490.0
150.13409423828125	-1600	1.01534e-07	3106140.0
150.13409423828125	-1500	1.00727e-07	3100180.0
150.13409423828125	-1400	9.94861e-08	3102450.0
150.13409423828125	-1300	1.00274e-07	3111300.0
150.13409423828125	-1200	1.00372e-07	3112270.0
150.13409423828125	-1100	1.00387e-07	3113100.0
150.13409423828125	-1000	9.91092e-08	3116130.0
150.13409423828125	-900	1.0114e-07	3109610.0
150.13409423828125	-800	1.00468e-07	3110030.0
150.13409423828125	-700	9.90435e-08	3114100.0
150.13409423828125	-600	9.98177e-08	3113530.0
150.13409423828125	-500	9.99592e-08	3114280.0
150.13409423828125	-400	9.98231e-08	3113460.0
150.13409423828125	-300	1.00587e-07	3114290.0
150.13409423828125	-200	9.94172e-08	3120050.0
150.13409423828125	-100	9.93988e-08	3116090.0
150.13409423828125	0	1.00347e-07	3114090.0
150.13409423828125	100	1.0041e-07	3115040.0
150.13409423828125	200	1.00423e-07	3111030.0
150.13409423828125	300	1.00321e-07	3107690.0
150.13409423828125	400	1.00279e-07	3111690.0
150.13409423828125	500	9.98539e-08	3112690.0
150.13409423828125	600	9.8956e-08	3112880.0
150.13409423828125	700	9.96145e-08	3113030.0
150.13409423828125	800	1.00468e-07	3106450.0
150.13409423828125	900	9.89188e-08	3110410.0
150.13409423828125	1000	1.00518e-07	3110870.0
150.13409423828125	1100	9.90113e-08	3110890.0
150.13409423828125	1200	9.84445e-08	3108980.0
150.13409423828125	1300	1.00734e-07	3112630.0
150.13409423828125	1400	1.00392e-07	3104470.0
150.13409423828125	1500	1.00163e-07	3104580.0
150.13409423828125	1600	1.0178e-07	3105180.0
150.13409423828125	1700	1.01021e-07	3102550.0
150.13409423828125	1800	9.91767e-08	3109210.0
150.13409423828125	1900	1.00356e-07	3099510.0
150.13409423828125	2000	1.01794e-07	3102460.0
150.13409423828125	2100	1.00304e-07	3100220.0
150.13409423828125	2200	1.01121e-07	3099910.0
150.13409423828125	2300	1.00293e-07	3100560.0
150.13409423828125	2400	1.00846e-07	3096430.0
150.13409423828125	2500	1.01081e-07	3095890.0
150.13409423828125	2600	1.00441e-07	3096110.0
150.13409423828125	2700	9.9296e-08	3096410.0
