Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
140.1153106689453	4600	9.12942e-08	3177470.0
140.1153106689453	4700	9.23076e-08	3175250.0
140.1153106689453	4800	9.18676e-08	3174000.0
140.1153106689453	4900	9.17143e-08	3171020.0
140.1153106689453	5000	9.21138e-08	3171760.0
140.1153106689453	5000	9.14855e-08	3176360.0
140.1153106689453	4900	9.22065e-08	3176860.0
140.1153106689453	4800	9.20273e-08	3175770.0
140.1153106689453	4700	9.15135e-08	3175190.0
140.1153106689453	4600	9.24472e-08	3176010.0
140.1153106689453	4500	9.11058e-08	3183550.0
140.1153106689453	4400	9.12727e-08	3182660.0
140.1153106689453	4300	9.07888e-08	3184960.0
140.1153106689453	4200	9.17838e-08	3182150.0
140.1153106689453	4100	9.16469e-08	3185600.0
140.1153106689453	4000	9.12761e-08	3188180.0
140.1153106689453	3900	9.06155e-08	3185960.0
140.1153106689453	3800	9.0967e-08	3188210.0
140.1153106689453	3700	9.10808e-08	3186260.0
140.1153106689453	3600	9.14999e-08	3183860.0
140.1153106689453	3500	9.08988e-08	3188480.0
140.1153106689453	3400	8.97947e-08	3191780.0
140.1153106689453	3300	9.1082e-08	3188930.0
140.1153106689453	3200	9.14619e-08	3184370.0
140.1153106689453	3100	9.09229e-08	3186450.0
140.1153106689453	3000	9.07811e-08	3184090.0
140.1153106689453	2900	9.15583e-08	3189660.0
140.1153106689453	2800	9.14541e-08	3191930.0
140.1153106689453	2700	9.14574e-08	3187940.0
140.1153106689453	2600	9.04385e-08	3193480.0
140.1153106689453	2500	9.05201e-08	3192810.0
140.1153106689453	2400	9.10906e-08	3192140.0
140.1153106689453	2300	9.03182e-08	3191990.0
140.1153106689453	2200	9.05495e-08	3194490.0
140.1153106689453	2100	9.08918e-08	3195940.0
140.1153106689453	2000	9.02066e-08	3199150.0
140.1153106689453	1900	9.07261e-08	3195830.0
140.1153106689453	1800	8.96223e-08	3201620.0
140.1153106689453	1700	8.9024e-08	3205670.0
140.1153106689453	1600	9.10765e-08	3205460.0
140.1153106689453	1500	8.97138e-08	3207500.0
140.1153106689453	1400	9.03165e-08	3208500.0
140.1153106689453	1300	9.04378e-08	3207850.0
140.1153106689453	1200	8.91792e-08	3207210.0
140.1153106689453	1100	9.11974e-08	3204120.0
140.1153106689453	1000	8.95916e-08	3205350.0
140.1153106689453	900	9.06335e-08	3205290.0
140.1153106689453	800	8.97614e-08	3209340.0
140.1153106689453	700	8.95981e-08	3208690.0
140.1153106689453	600	8.99325e-08	3204790.0
140.1153106689453	500	8.96889e-08	3211760.0
140.1153106689453	400	8.96831e-08	3211460.0
140.1153106689453	300	8.96248e-08	3211320.0
140.1153106689453	200	9.08428e-08	3214590.0
140.1153106689453	100	8.94963e-08	3216570.0
140.1153106689453	0	8.97311e-08	3209520.0
140.1153106689453	-100	8.96439e-08	3214120.0
140.1153106689453	-200	8.95106e-08	3215280.0
140.1153106689453	-300	9.06098e-08	3210690.0
140.1153106689453	-400	9.02173e-08	3207740.0
140.1153106689453	-500	9.08318e-08	3207870.0
140.1153106689453	-600	9.02885e-08	3211310.0
140.1153106689453	-700	8.89697e-08	3209110.0
140.1153106689453	-800	8.98321e-08	3213720.0
140.1153106689453	-900	8.93676e-08	3215580.0
