Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
200.1180877685547	-200	1.79236e-07	3640710.0
200.1180877685547	-100	1.33572e-08	4366440.0
200.1180877685547	0	3.09584e-08	4127220.0
200.1180877685547	100	2.05862e-08	3764740.0
200.1180877685547	200	4.00938e-08	4485930.0
200.1180877685547	300	1.51954e-08	4033120.0
200.1180877685547	400	2.18863e-08	4253260.0
200.1180877685547	500	-1.95656e-06	4370220.0
200.1180877685547	600	-6.60106e-08	3382210.0
200.1180877685547	700	1.70708e-05	3879040.0
200.1180877685547	800	2.6635e-08	3753390.0
200.1180877685547	900	-4.15206e-08	4129810.0
200.1180877685547	1000	-2.12623e-08	4013130.0
200.1180877685547	1100	1.06173e-08	3792530.0
200.1180877685547	1200	1.78279e-08	4123560.0
200.1180877685547	1300	8.2947e-08	4074620.0
200.1180877685547	1400	2.97213e-08	4675000.0
200.1180877685547	1500	1.74467e-08	4417000.0
200.1180877685547	1600	3.5513e-07	3879360.0
200.1180877685547	1700	1.97959e-08	4138670.0
200.1180877685547	1800	2.20822e-08	4387820.0
200.1180877685547	1900	1.92596e-08	3858330.0
200.1180877685547	2000	1.48882e-08	3962350.0
200.1180877685547	2100	9.93988e-09	4625090.0
200.1180877685547	2200	5.71252e-08	3804870.0
200.1180877685547	2300	3.18367e-08	3761380.0
200.1180877685547	2400	4.58956e-08	3887840.0
200.1180877685547	2500	4.93692e-08	3829310.0
200.1180877685547	2600	2.56669e-08	4168570.0
200.1180877685547	2700	2.46405e-08	3876020.0
200.1180877685547	2800	-3.49161e-08	3846720.0
200.1180877685547	2900	3.81921e-08	3893980.0
200.1180877685547	3000	-3.91735e-08	3720370.0
200.1180877685547	3100	2.06577e-08	4058020.0
200.1180877685547	3200	3.20104e-08	3814970.0
200.1180877685547	3300	4.63536e-08	4101480.0
200.1180877685547	3400	1.98539e-08	3438800.0
200.1180877685547	3500	3.38342e-08	3823840.0
200.1180877685547	3600	1.1757e-08	3776500.0
200.1180877685547	3700	8.92353e-09	4466890.0
200.1180877685547	3800	-1.03586e-07	4404590.0
200.1180877685547	3900	1.23869e-08	4102960.0
200.1180877685547	4000	8.99162e-08	4036090.0
200.1180877685547	4100	-1.77746e-07	4712440.0
200.1180877685547	4200	-8.25216e-08	5044780.0
200.1180877685547	4300	2.07982e-08	4250150.0
200.1180877685547	4400	2.93702e-08	4030060.0
200.1180877685547	4500	1.36138e-08	3717090.0
200.1180877685547	4600	4.87635e-08	3784920.0
200.1180877685547	4700	1.9312e-08	3623860.0
200.1180877685547	4800	4.72955e-08	4115500.0
200.1180877685547	4900	2.66355e-08	3800640.0
200.1180877685547	5000	5.61077e-08	3885780.0
200.1180877685547	5000	2.62709e-08	6121140.0
200.1180877685547	4900	1.47332e-08	3337820.0
200.1180877685547	4800	9.83946e-09	4011860.0
200.1180877685547	4700	1.28252e-08	4123020.0
200.1180877685547	4600	-9.5634e-08	4155660.0
200.1180877685547	4500	-1.91301e-07	4623000.0
200.1180877685547	4400	4.22997e-08	3670950.0
200.1180877685547	4300	2.45569e-07	3902950.0
200.1180877685547	4200	-1.58402e-05	3178470.0
200.1180877685547	4100	-7.39124e-08	4300770.0
200.1180877685547	4000	1.36659e-08	4046490.0
200.1180877685547	3900	1.74112e-07	4173220.0
200.1180877685547	3800	-1.42869e-07	3572260.0
200.1180877685547	3700	-5.0419e-08	4477490.0
200.1180877685547	3600	3.26211e-08	3889060.0
200.1180877685547	3400	-3.63926e-08	4103640.0
200.1180877685547	3300	-2.12515e-08	4221410.0
200.1180877685547	3200	5.27937e-08	3797040.0
200.1180877685547	3100	2.37977e-08	4892660.0
200.1180877685547	3000	1.68616e-08	4606220.0
200.1180877685547	2900	-2.6629e-08	3821730.0
200.1180877685547	2800	1.62164e-08	4320810.0
200.1180877685547	2700	5.47175e-08	4337050.0
200.1180877685547	2600	2.25404e-08	3460310.0
200.1180877685547	2500	3.06059e-08	3687450.0
200.1180877685547	2400	2.0137e-08	4211160.0
200.1180877685547	2300	-1.40075e-07	4176410.0
200.1180877685547	2200	2.35577e-07	3875520.0
200.1180877685547	2100	9.46681e-08	3637810.0
200.1180877685547	2000	2.0257e-08	3886270.0
200.1180877685547	1800	-1.42946e-08	4946680.0
200.1180877685547	1700	3.00467e-08	3815040.0
200.1180877685547	1600	2.82082e-08	3849880.0
200.1180877685547	1500	1.55177e-08	4611220.0
200.1180877685547	1400	7.28734e-08	4766130.0
200.1180877685547	1300	2.1632e-08	4054330.0
200.1180877685547	1200	2.02895e-08	4384300.0
200.1180877685547	1100	1.67928e-08	3951390.0
200.1180877685547	900	3.53928e-08	3726650.0
200.1180877685547	800	3.01617e-08	3994230.0
200.1180877685547	700	3.9179e-08	3405280.0
200.1180877685547	600	2.51912e-08	4163890.0
200.1180877685547	500	-6.2651e-08	4096370.0
200.1180877685547	400	4.43273e-08	3976970.0
200.1180877685547	300	-2.79965e-08	4493510.0
200.1180877685547	200	4.32297e-08	3805220.0
200.1180877685547	100	-9.68915e-08	4411920.0
200.1180877685547	0	2.82733e-08	4473210.0
200.1180877685547	-100	4.09197e-08	3985320.0
200.1180877685547	-300	1.19152e-08	4037710.0
200.1180877685547	-400	1.55909e-08	4112740.0
200.1180877685547	-500	5.54986e-08	4931530.0
200.1180877685547	-600	1.82217e-08	3577010.0
200.1180877685547	-700	2.29577e-08	4188990.0
200.1180877685547	-800	1.40606e-08	4255070.0
200.1180877685547	-900	3.41713e-08	4036520.0
200.1180877685547	-1000	2.68365e-08	4026250.0
200.1180877685547	-1100	6.28621e-08	3815640.0
200.1180877685547	-1200	1.19204e-07	4117640.0
200.1180877685547	-1300	7.26646e-08	3541790.0
200.1180877685547	-1400	5.50449e-08	3884410.0
200.1180877685547	-1500	1.24929e-08	3389310.0
200.1180877685547	-1600	1.9727e-08	5004080.0
200.1180877685547	-1700	3.45201e-08	3888880.0
200.1180877685547	-1800	2.51911e-08	3893850.0
200.1180877685547	-1900	1.33185e-08	3673490.0
200.1180877685547	-2000	-5.44779e-07	3584030.0
200.1180877685547	-2100	5.21638e-08	3557740.0
200.1180877685547	-2200	1.50728e-07	3996350.0
200.1180877685547	-2300	3.17706e-07	3657580.0
