Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
299.9990539550781	500	4.47438e-10	-14223700.0
299.9990539550781	500	2.89503e-10	-16177500.0
299.9990539550781	400	-1.09226e-09	-21411600.0
299.9990539550781	300	2.59909e-10	8686650.0
299.9990539550781	200	1.28819e-10	43241900.0
299.9990539550781	100	2.75431e-10	-14167400.0
299.9990539550781	-100	1.98214e-10	818139.0
299.9990539550781	-300	2.15927e-10	12188500.0
299.9990539550781	-400	2.37034e-10	54144300.0
299.9990539550781	-500	1.16393e-09	40899600.0
299.9990539550781	-500	2.48108e-10	-7462910.0
299.9990539550781	-400	3.37997e-10	3146520.0
299.9990539550781	-300	9.32074e-10	-3878560.0
299.9990539550781	-200	-1.50204e-09	-81002100.0
299.9990539550781	0	4.60883e-10	21556800.0
299.9990539550781	100	3.15696e-10	31911900.0
299.9990539550781	400	8.70651e-11	2455800.0
299.9990539550781	500	1.30207e-10	6495180.0
