Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
199.9990692138672	-5000	4.81631e-08	3413910.0
199.9990692138672	-5000	4.92082e-08	3392790.0
199.9990692138672	-4900	4.90972e-08	3402230.0
199.9990692138672	-4800	4.82049e-08	3414390.0
199.9990692138672	-4700	4.88209e-08	3391830.0
199.9990692138672	-4600	4.85774e-08	3394560.0
199.9990692138672	-4500	4.85907e-08	3387950.0
199.9990692138672	-4400	4.96836e-08	3387980.0
199.9990692138672	-4300	4.92243e-08	3387000.0
199.9990692138672	-4200	5.00164e-08	3386270.0
199.9990692138672	-4100	4.89029e-08	3389210.0
199.9990692138672	-4000	4.95024e-08	3384170.0
199.9990692138672	-3900	4.8834e-08	3402850.0
199.9990692138672	-3800	4.86815e-08	3385830.0
199.9990692138672	-3700	4.87211e-08	3392510.0
199.9990692138672	-3600	5.01426e-08	3378120.0
199.9990692138672	-3500	4.88689e-08	3383460.0
199.9990692138672	-3400	4.94813e-08	3386460.0
199.9990692138672	-3300	4.86921e-08	3407930.0
199.9990692138672	-3200	4.88984e-08	3391710.0
199.9990692138672	-3100	4.85328e-08	3397240.0
199.9990692138672	-3000	4.90127e-08	3400050.0
199.9990692138672	-2900	4.87883e-08	3394850.0
199.9990692138672	-2800	4.88972e-08	3397930.0
199.9990692138672	-2700	4.89452e-08	3407850.0
199.9990692138672	-2600	4.82943e-08	3408790.0
199.9990692138672	-2500	4.81729e-08	3416530.0
199.9990692138672	-2400	4.84061e-08	3415130.0
199.9990692138672	-2300	4.88817e-08	3401110.0
199.9990692138672	-2200	4.74909e-08	3417130.0
199.9990692138672	-2100	4.84317e-08	3418530.0
199.9990692138672	-2000	4.85849e-08	3416460.0
199.9990692138672	-1900	4.91145e-08	3411110.0
199.9990692138672	-1800	4.79631e-08	3413810.0
199.9990692138672	-1700	4.90013e-08	3407830.0
199.9990692138672	-1600	4.84271e-08	3407080.0
199.9990692138672	-1500	4.93966e-08	3399610.0
199.9990692138672	-1400	4.87138e-08	3400020.0
199.9990692138672	-1300	4.88805e-08	3397420.0
199.9990692138672	-1200	4.90995e-08	3398220.0
199.9990692138672	-1100	4.80916e-08	3414460.0
199.9990692138672	-1000	4.77871e-08	3413540.0
199.9990692138672	-900	4.8503e-08	3416330.0
199.9990692138672	-800	4.81286e-08	3404130.0
199.9990692138672	-700	4.82972e-08	3411370.0
199.9990692138672	-600	4.89104e-08	3408640.0
199.9990692138672	-500	4.80046e-08	3406420.0
199.9990692138672	-400	4.77177e-08	3420520.0
199.9990692138672	-300	4.80587e-08	3401590.0
199.9990692138672	-200	4.87326e-08	3396610.0
199.9990692138672	-100	4.91426e-08	3397700.0
199.9990692138672	0	4.94278e-08	3393370.0
199.9990692138672	100	4.84597e-08	3411880.0
199.9990692138672	200	4.83085e-08	3419930.0
199.9990692138672	300	4.83492e-08	3405520.0
199.9990692138672	400	4.87976e-08	3405780.0
199.9990692138672	500	4.96599e-08	3399020.0
199.9990692138672	600	4.81576e-08	3405620.0
199.9990692138672	700	4.85338e-08	3407030.0
199.9990692138672	800	4.88611e-08	3394850.0
199.9990692138672	900	4.83729e-08	3401660.0
199.9990692138672	1000	4.92649e-08	3385400.0
199.9990692138672	1100	4.87365e-08	3397250.0
199.9990692138672	1200	4.92361e-08	3396190.0
199.9990692138672	1300	4.94819e-08	3383230.0
199.9990692138672	1400	4.93477e-08	3407340.0
199.9990692138672	1500	4.81327e-08	3407440.0
199.9990692138672	1600	4.93469e-08	3398880.0
199.9990692138672	1700	4.87593e-08	3409060.0
199.9990692138672	1800	4.91005e-08	3396150.0
199.9990692138672	1900	4.85235e-08	3400900.0
199.9990692138672	2000	4.90589e-08	3391440.0
199.9990692138672	2100	4.87652e-08	3406880.0
199.9990692138672	2200	4.87073e-08	3389390.0
199.9990692138672	2300	4.83345e-08	3389950.0
199.9990692138672	2400	4.97829e-08	3382030.0
199.9990692138672	2500	4.81656e-08	3403790.0
199.9990692138672	2600	4.92343e-08	3378140.0
199.9990692138672	2700	4.92676e-08	3383940.0
199.9990692138672	2800	4.9816e-08	3377270.0
199.9990692138672	2900	4.94275e-08	3378130.0
199.9990692138672	3000	4.82853e-08	3399660.0
199.9990692138672	3100	4.92111e-08	3397370.0
199.9990692138672	3200	4.95574e-08	3389100.0
199.9990692138672	3300	4.88596e-08	3400760.0
199.9990692138672	3400	4.94865e-08	3378310.0
199.9990692138672	3500	4.94198e-08	3382730.0
199.9990692138672	3600	4.89842e-08	3381940.0
199.9990692138672	3700	4.82946e-08	3401920.0
199.9990692138672	3800	4.94214e-08	3383790.0
199.9990692138672	3900	4.92206e-08	3381880.0
199.9990692138672	4000	4.91966e-08	3381080.0
199.9990692138672	4100	4.93108e-08	3374020.0
199.9990692138672	4200	5.00944e-08	3392580.0
199.9990692138672	4300	4.96698e-08	3380620.0
199.9990692138672	4400	4.99274e-08	3370860.0
199.9990692138672	4500	4.92194e-08	3374030.0
199.9990692138672	4600	4.91798e-08	3397540.0
199.9990692138672	4700	4.9197e-08	3395630.0
199.9990692138672	4800	4.98155e-08	3386130.0
199.9990692138672	4900	4.96411e-08	3389620.0
199.9990692138672	5000	4.89584e-08	3387730.0
199.9990692138672	5000	4.92784e-08	3386390.0
199.9990692138672	4900	4.9107e-08	3389600.0
199.9990692138672	4800	4.91902e-08	3374860.0
199.9990692138672	4700	4.90382e-08	3382330.0
199.9990692138672	4600	4.927e-08	3381590.0
199.9990692138672	4500	5.05813e-08	3350700.0
199.9990692138672	4400	5.04592e-08	3349020.0
199.9990692138672	4300	4.98528e-08	3370770.0
199.9990692138672	4200	4.9578e-08	3366190.0
199.9990692138672	4100	5.04321e-08	3360610.0
199.9990692138672	4000	5.00186e-08	3358150.0
199.9990692138672	3900	5.03371e-08	3349860.0
199.9990692138672	3800	5.10076e-08	3339690.0
199.9990692138672	3700	5.10508e-08	3346930.0
199.9990692138672	3600	4.95942e-08	3353390.0
199.9990692138672	3500	5.05479e-08	3363790.0
199.9990692138672	3400	5.07864e-08	3350500.0
199.9990692138672	3300	5.06229e-08	3339730.0
199.9990692138672	3200	5.10588e-08	3345730.0
199.9990692138672	3100	5.0105e-08	3352530.0
199.9990692138672	3000	5.05988e-08	3345210.0
199.9990692138672	2900	5.08075e-08	3351720.0
199.9990692138672	2800	5.04441e-08	3385470.0
199.9990692138672	2700	5.10366e-08	3346060.0
199.9990692138672	2600	4.9525e-08	3363380.0
199.9990692138672	2500	5.02175e-08	3361490.0
199.9990692138672	2400	4.99475e-08	3361080.0
199.9990692138672	2300	4.97831e-08	3372050.0
199.9990692138672	2200	4.94615e-08	3383440.0
199.9990692138672	2100	4.91383e-08	3386280.0
199.9990692138672	2000	4.94407e-08	3389930.0
199.9990692138672	1900	4.96283e-08	3380610.0
199.9990692138672	1800	4.9732e-08	3381630.0
199.9990692138672	1700	4.8792e-08	3397790.0
199.9990692138672	1600	4.91763e-08	3369060.0
199.9990692138672	1500	4.99967e-08	3371550.0
199.9990692138672	1400	5.01049e-08	3377000.0
199.9990692138672	1300	4.97426e-08	3375570.0
199.9990692138672	1200	5.0187e-08	3374050.0
199.9990692138672	1100	4.98116e-08	3354740.0
199.9990692138672	1000	4.98542e-08	3366310.0
199.9990692138672	900	4.95886e-08	3370940.0
199.9990692138672	800	4.96874e-08	3370980.0
199.9990692138672	700	5.02917e-08	3370350.0
199.9990692138672	600	4.98127e-08	3368450.0
199.9990692138672	500	4.91474e-08	3386460.0
199.9990692138672	400	4.93185e-08	3385770.0
199.9990692138672	300	4.95759e-08	3379390.0
199.9990692138672	200	4.98109e-08	3377400.0
199.9990692138672	100	4.95708e-08	3368430.0
199.9990692138672	0	4.91009e-08	3380230.0
199.9990692138672	-100	4.96252e-08	3377730.0
199.9990692138672	-200	5.01106e-08	3378680.0
199.9990692138672	-300	4.9794e-08	3368480.0
199.9990692138672	-400	4.97961e-08	3373420.0
199.9990692138672	-500	4.9809e-08	3375240.0
199.9990692138672	-600	4.89526e-08	3400830.0
199.9990692138672	-700	4.87679e-08	3394710.0
199.9990692138672	-800	5.00779e-08	3379130.0
199.9990692138672	-900	4.89222e-08	3397320.0
199.9990692138672	-1000	4.92266e-08	3390530.0
199.9990692138672	-1100	4.80155e-08	3392960.0
199.9990692138672	-1200	4.84436e-08	3384620.0
199.9990692138672	-1300	4.92895e-08	3371090.0
199.9990692138672	-1400	5.06732e-08	3372570.0
199.9990692138672	-1500	4.92209e-08	3379220.0
199.9990692138672	-1600	5.04463e-08	3370910.0
199.9990692138672	-1700	4.94201e-08	3381480.0
199.9990692138672	-1800	5.00345e-08	3362470.0
199.9990692138672	-1900	5.01541e-08	3365430.0
199.9990692138672	-2000	4.99657e-08	3366970.0
199.9990692138672	-2100	4.9289e-08	3384840.0
199.9990692138672	-2200	4.89242e-08	3387890.0
199.9990692138672	-2300	5.00852e-08	3362740.0
199.9990692138672	-2400	5.02988e-08	3369120.0
199.9990692138672	-2500	4.9492e-08	3382620.0
199.9990692138672	-2600	5.0104e-08	3355930.0
199.9990692138672	-2700	4.96731e-08	3374470.0
199.9990692138672	-2800	4.91945e-08	3392780.0
199.9990692138672	-2900	4.9389e-08	3369090.0
199.9990692138672	-3000	4.94515e-08	3364650.0
199.9990692138672	-3100	4.9944e-08	3378700.0
